COD_CONTROLLO;COD_PROCESSO;COD_TIPO_CONTROLLO;COD_FREQ_CONTROLLO;COD_SEVERITA;DES_CONTROLLO;MSG;STMT_CONTROLLO;FLG_ATTIVO;TMS_CREAZIONE;TMS_MODIFICA;DAT_FINE_VALIDITA;COD_UTENTE_MODIFICA;COD_UTENTE_CREAZIONE
b;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY, il campo COD_PERIMETRO può contenere solo i valori “PATH_DEPENDENT” e “NO_PATH_DEPENDENT”;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY {dat_report} v{versione_shift_sensitivity} la colonna COD_PERIMETRO contiene il valore {output2} per la chiave {output1}. ;;Y;;;;;MANUAL
c;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY, il campo ID_MESE_MAT può contenere solo interi da 1 a 480;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY {dat_report} v{versione_shift_sensitivity} la chiave {output1} ha valore {output2}, esterno all'intervallo.;;Y;;;;;MANUAL
d;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_DISCOUNT_FACTOR, i valori di VAL_DELTA_DISC_FACTOR non possono essere pari a 0 se ID_MESE_MAT è maggiore di 0;Nella tabella TE_IRRBB_DISCOUNT_FACTOR {dat_report} v{versione_discount_factor} la chiave {output1} ha valore {output2}, esterno all'intervallo.;;Y;;;;;MANUAL
a.1;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Verifica se ci sono valori duplicati nella tabella TE_IRRBB_SHIFT_SENSITIVITY;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY {dat_report} v{versione_shift_sensitivity} la chiave {output1} viene ripetuta {output2} volte;;Y;;;;;MANUAL
a.2;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Verifica se ci sono valori duplicati nella tabella TE_IRRBB_DISCOUNT_FACTOR;Nella tabella TE_IRRBB_DISCOUNT_FACTOR {dat_report} v{versione_discount_factor} la chiave {output1} viene ripetuta {output2} volte;;Y;;;;;MANUAL
a.3;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Verifica se ci sono valori duplicati nella tabella TE_IRRBB_MAPPING_DES_SHOCK;Nella tabella TE_IRRBB_MAPPING_DES_SHOCK {dat_report} v{versione_mapping_des_shock} la chiave {output1} viene ripetuta {output2} volte;;Y;;;;;MANUAL
a.4;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Verifica se ci sono valori duplicati nella tabella TE_IRRBB_MAPPING_CURRENCY;Nella tabella TE_IRRBB_MAPPING_CURRENCY {dat_report} v{versione_mapping_currency} la chiave {output1} viene ripetuta {output2} volte;;Y;;;;;MANUAL
a.5;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Verifica se ci sono valori duplicati nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE {dat_report} v{versione_shift_sensitivity_base} la chiave {output1} viene ripetuta {output2} volte;;Y;;;;;MANUAL
e;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_DISCOUNT_FACTOR, il campo ID_MESE_MAT può contenere solo interi da 0 a 480;Nella tabella TE_IRRBB_DISCOUNT_FACTOR {dat_report} v{versione_discount_factor} la chiave {output1} ha valore {output2}, esterno all'intervallo.;;Y;;;;;MANUAL
f;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE, il campo ID_MESE_MAT può contenere solo interi da 1 a 480;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE {dat_report} v{versione_shift_sensitivity_base} la chiave {output1} ha valore {output2}, esterno all'intervallo.;;Y;;;;;MANUAL
g;ecap11_irrbb_notional_equivalent;1;DAY;ERROR;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE il campo DES_SHOCK deve essere unico;Nella tabella TE_IRRBB_SHIFT_SENSITIVITY_BASE {dat_report} v{versione_shift_sensitivity_base} la chiave {output1} ha valore {output2}, esterno all'intervallo.;;Y;;;;;MANUAL
